Cluster,Window,Value
1.0,4.0,0.05247767137608316
2.0,4.0,0.04531063123851937
3.0,4.0,0.04547922872612797
4.0,4.0,0.04386058725055233
5.0,4.0,0.04300280995698521
7.0,4.0,0.040985605380932905
8.0,4.0,0.04091900705923605
9.0,4.0,0.04079538567130997
10.0,4.0,0.04025831472152206
11.0,4.0,0.03975553503045492
12.0,4.0,0.03932641039202718
13.0,4.0,0.03878818173554151
14.0,4.0,0.03844960424793561
15.0,4.0,0.0382245135158192
16.0,4.0,0.037851357317716806
20.0,4.0,0.036484455261401684
30.0,4.0,0.03456440701887283
40.0,4.0,0.033398507948062
50.0,4.0,0.032495604080842136
100.0,4.0,0.027387053233849934
1.0,3.0,0.05247767137608316
2.0,3.0,0.045242375736172666
3.0,3.0,0.044049687671585916
4.0,3.0,0.04286567087095191
5.0,3.0,0.04171551233527896
7.0,3.0,0.04062992830280685
8.0,3.0,0.04018773191932789
9.0,3.0,0.03998145357368225
10.0,3.0,0.03937713074352397
11.0,3.0,0.03890271180671198
12.0,3.0,0.03828338655370526
13.0,3.0,0.03831879627484308
14.0,3.0,0.03811594571223146
15.0,3.0,0.03788622271583212
16.0,3.0,0.03735329583955708
20.0,3.0,0.03670717468869424
30.0,3.0,0.03406106668630261
40.0,3.0,0.03249889726099854
50.0,3.0,0.03187335243717064
100.0,3.0,0.027270531195524923
1.0,9.0,0.05247767137608316
2.0,9.0,0.04528133448563644
3.0,9.0,0.044770813856511306
4.0,9.0,0.04467843952889438
5.0,9.0,0.04369689136716126
7.0,9.0,0.04113189535195361
8.0,9.0,0.03970470368172089
9.0,9.0,0.03922589031933111
10.0,9.0,0.03891547216446159
11.0,9.0,0.03848622910311276
12.0,9.0,0.03785932766791883
13.0,9.0,0.03773718133886503
14.0,9.0,0.03755853994068743
15.0,9.0,0.037225608085066045
16.0,9.0,0.03729162627488371
20.0,9.0,0.036668352842669144
30.0,9.0,0.03569688263687846
40.0,9.0,0.034092157320426614
50.0,9.0,0.03295768425024078
100.0,9.0,0.028579119032393147
1.0,7.0,0.05247767137608316
2.0,7.0,0.04604980054800322
3.0,7.0,0.0450798823320269
4.0,7.0,0.04337607306885367
5.0,7.0,0.042356618994102035
7.0,7.0,0.04041327964976566
8.0,7.0,0.039723665513169706
9.0,7.0,0.03948770648145871
10.0,7.0,0.03922865237035558
