Cluster,Window,Value
1.0,1.0,0.06776271442638436
2.0,1.0,0.04603928951844436
3.0,1.0,0.03557476089131894
4.0,1.0,0.033181800415176654
5.0,1.0,0.03215363721558996
7.0,1.0,0.029605652817083248
8.0,1.0,0.02858609525397604
9.0,1.0,0.027917866914227627
10.0,1.0,0.026799261408384675
11.0,1.0,0.02624786985002521
12.0,1.0,0.026130719733106197
13.0,1.0,0.02547836349498096
14.0,1.0,0.024940525071299936
15.0,1.0,0.024550967395058607
16.0,1.0,0.024006081358511823
17.0,1.0,0.02381397989091286
18.0,1.0,0.023631319294852387
19.0,1.0,0.023459754327046164
20.0,1.0,0.023171630583095553
25.0,1.0,0.02217106791965582
30.0,1.0,0.021394210427564717
40.0,1.0,0.020243784272104114
50.0,1.0,0.018895028374857244
100.0,1.0,0.01552628944493511
