Cluster,Window,Value
1.0,0.0,0.03694948754486145
2.0,0.0,0.03465294348407259
3.0,0.0,0.027025072291844164
4.0,0.0,0.02332820567841071
5.0,0.0,0.023354719431049293
7.0,0.0,0.0217539305869843
8.0,0.0,0.02168320298311462
9.0,0.0,0.02133622170608794
10.0,0.0,0.020782757927910296
11.0,0.0,0.019988726307310287
12.0,0.0,0.019882993002040848
13.0,0.0,0.019044589856905308
20.0,0.0,0.01686255289373702
30.0,0.0,0.015354152623467234
40.0,0.0,0.014394966339752006
50.0,0.0,0.013790761730438143
100.0,0.0,0.010926268500474325
1.0,1.0,0.03694948754486145
2.0,1.0,0.03465696276165414
3.0,1.0,0.027342998518307376
4.0,1.0,0.023826123898213845
5.0,1.0,0.02389205751227808
7.0,1.0,0.023706528612894098
8.0,1.0,0.02318223783079981
9.0,1.0,0.022462715059717777
10.0,1.0,0.02066353963155458
11.0,1.0,0.020290305303341347
12.0,1.0,0.020191615216134027
13.0,1.0,0.019357686115296837
20.0,1.0,0.01758408870309431
30.0,1.0,0.015793089187088133
40.0,1.0,0.014534709784929168
50.0,1.0,0.014210901850916691
100.0,1.0,0.01204277563668627
