Cluster,Window,Value
1.0,4.0,0.07506548371641447
2.0,4.0,0.061089999279786755
3.0,4.0,0.05685980634767415
4.0,4.0,0.05553094872642849
5.0,4.0,0.055208607559677214
7.0,4.0,0.05225269917940021
8.0,4.0,0.05221431527476942
9.0,4.0,0.05026394545152396
10.0,4.0,0.05038395085715111
11.0,4.0,0.049763671137639326
12.0,4.0,0.049792048519219465
13.0,4.0,0.05007671983843921
14.0,4.0,0.04970695094603638
15.0,4.0,0.049594809028567215
16.0,4.0,0.049496019170464714
20.0,4.0,0.04776752677940178
30.0,4.0,0.04429717064807806
40.0,4.0,0.04173213637965097
50.0,4.0,0.03996732061532127
100.0,4.0,0.0324470285801217
1.0,3.0,0.07506548371641447
2.0,3.0,0.06130692699910745
3.0,3.0,0.05778909773408256
4.0,3.0,0.054899012658876235
5.0,3.0,0.0537427772482032
7.0,3.0,0.05168729250685492
8.0,3.0,0.05109566174172114
9.0,3.0,0.049742339674098114
10.0,3.0,0.0498745400201484
11.0,3.0,0.04959101159615728
12.0,3.0,0.04920763916056159
13.0,3.0,0.04935987472146918
14.0,3.0,0.049060743510222465
15.0,3.0,0.04922982316148052
16.0,3.0,0.04785546835858483
20.0,3.0,0.04714540844411469
30.0,3.0,0.044437423162133005
40.0,3.0,0.04178950088309159
50.0,3.0,0.03962862837393674
100.0,3.0,0.0324085732033156
1.0,9.0,0.07506548371641447
2.0,9.0,0.0629436602397823
3.0,9.0,0.05906377248064513
4.0,9.0,0.058930176629289226
5.0,9.0,0.05840507486876803
7.0,9.0,0.05499527088402117
8.0,9.0,0.05323690411470919
9.0,9.0,0.05274640401813079
10.0,9.0,0.05296784869397497
11.0,9.0,0.05026056919574517
12.0,9.0,0.049861630667674656
13.0,9.0,0.049860501343218316
14.0,9.0,0.04979674525660456
15.0,9.0,0.04913321855215793
16.0,9.0,0.0486307009528176
20.0,9.0,0.04820934663506518
30.0,9.0,0.045703610458284014
40.0,9.0,0.04390066487784034
50.0,9.0,0.04112248342268372
100.0,9.0,0.03463204210367631
1.0,7.0,0.07506548371641447
2.0,7.0,0.06260566467763383
3.0,7.0,0.0588987932928312
4.0,7.0,0.05540002512968655
5.0,7.0,0.05525082131038492
7.0,7.0,0.051637057060407436
8.0,7.0,0.05179508947296704
9.0,7.0,0.05164733136901265
10.0,7.0,0.05114844992684539
11.0,7.0,0.05085395086023412
12.0,7.0,0.050168554403954894
13.0,7.0,0.05009919978442562
14.0,7.0,0.049690046738765654
15.0,7.0,0.04954633884344681
16.0,7.0,0.04928577361317584
20.0,7.0,0.04696224887415321
30.0,7.0,0.04487691545792867
40.0,7.0,0.04310525709560015
50.0,7.0,0.04083210269209955
100.0,7.0,0.03396424208982878
1.0,0.0,0.07506548371641447
2.0,0.0,0.06180825461444681
3.0,0.0,0.05735249645254775
4.0,0.0,0.057059897111859104
5.0,0.0,0.054726632732335995
7.0,0.0,0.0545462763838696
8.0,0.0,0.053610697295400904
9.0,0.0,0.052152062296858495
10.0,0.0,0.05164946545717684
11.0,0.0,0.05186296196546079
12.0,0.0,0.05151147869031748
13.0,0.0,0.049886652860702825
14.0,0.0,0.04963181435006566
15.0,0.0,0.04869395059850473
16.0,0.0,0.0477739458727163
20.0,0.0,0.04708418650948974
30.0,0.0,0.043697812803153976
40.0,0.0,0.0418669630269539
50.0,0.0,0.0398310019659539
100.0,0.0,0.031944778654469375
1.0,2.0,0.07506548371641447
2.0,2.0,0.061798969179322594
3.0,2.0,0.059696382897686806
4.0,2.0,0.05954396812042298
5.0,2.0,0.05875633855514162
7.0,2.0,0.05348784047571697
8.0,2.0,0.0533416485201766
9.0,2.0,0.05275509973176556
10.0,2.0,0.05098287773592927
11.0,2.0,0.0506761388152101
12.0,2.0,0.049836555584663836
13.0,2.0,0.04967162647879248
14.0,2.0,0.048297405637756786
15.0,2.0,0.048164644106066815
16.0,2.0,0.048048135453778174
20.0,2.0,0.046129715528553245
30.0,2.0,0.04330599498058684
40.0,2.0,0.04191370700310226
50.0,2.0,0.03995702637664085
100.0,2.0,0.032037236721108496
1.0,15.0,0.07506548371641447
2.0,15.0,0.06295701651971193
3.0,15.0,0.06130549439408729
4.0,15.0,0.05979278391651388
5.0,15.0,0.05947443354607164
7.0,15.0,0.05348704632953421
8.0,15.0,0.050771209833354494
9.0,15.0,0.050316668503555574
10.0,15.0,0.05036454194223144
11.0,15.0,0.05051094305078582
12.0,15.0,0.04984577109823688
13.0,15.0,0.04965884497542025
14.0,15.0,0.04942208133289637
15.0,15.0,0.048903101972351815
16.0,15.0,0.04866412898522759
20.0,15.0,0.04821654151130068
30.0,15.0,0.04723527764638793
40.0,15.0,0.04584944765343721
50.0,15.0,0.04397247909699763
100.0,15.0,0.03740481948261049
1.0,6.0,0.07506548371641447
2.0,6.0,0.06101364333886975
3.0,6.0,0.05755719717402143
4.0,6.0,0.05455497760196465
5.0,6.0,0.05426115773088391
7.0,6.0,0.05406845572357956
8.0,6.0,0.052255868118955495
