Cluster,Window,Value
1.0,0.0,0.06776271442638436
2.0,0.0,0.04385211017320703
3.0,0.0,0.03583634584414115
4.0,0.0,0.032950112481827575
5.0,0.0,0.03150149156940761
7.0,0.0,0.02910630522063841
8.0,0.0,0.027281547994025403
9.0,0.0,0.02602557551043581
10.0,0.0,0.025365757631835857
11.0,0.0,0.025103935195452856
12.0,0.0,0.024428911360640463
13.0,0.0,0.02390191363725243
14.0,0.0,0.023550085989028684
15.0,0.0,0.023129878808175314
16.0,0.0,0.022483250802625036
17.0,0.0,0.022121968177419588
18.0,0.0,0.02188152448992269
19.0,0.0,0.021614435818878945
20.0,0.0,0.021196310237952577
25.0,0.0,0.02036961531000481
30.0,0.0,0.019443343214116615
40.0,0.0,0.017909174402328008
50.0,0.0,0.016809964649126194
100.0,0.0,0.012705685529070978
1.0,1.0,0.06776271442638436
2.0,1.0,0.044701860126890716
3.0,1.0,0.037190313498013335
4.0,1.0,0.03520238281737154
5.0,1.0,0.03334097103223484
7.0,1.0,0.0325635884701346
8.0,1.0,0.031970226529489186
9.0,1.0,0.02966697752146884
10.0,1.0,0.028874152536797055
11.0,1.0,0.02845913868318956
12.0,1.0,0.028231030165988814
13.0,1.0,0.02822966214619149
14.0,1.0,0.02772569788773583
15.0,1.0,0.027641100943425975
16.0,1.0,0.027363672669950583
17.0,1.0,0.02720514971269691
18.0,1.0,0.02685867942062711
19.0,1.0,0.02660308322761857
20.0,1.0,0.0264487583565881
25.0,1.0,0.02557742676025371
30.0,1.0,0.02459314280994337
40.0,1.0,0.02345018307234288
50.0,1.0,0.022750946027566905
100.0,1.0,0.01893754396635671
