Cluster,Window,Value
1.0,4.0,0.025176061302010794
2.0,4.0,0.02607860298594387
3.0,4.0,0.02596799096869841
4.0,4.0,0.024931679519541942
5.0,4.0,0.025307327142826113
7.0,4.0,0.025076915277718416
8.0,4.0,0.02509292006061207
9.0,4.0,0.02447773176741332
10.0,4.0,0.024669447892540518
11.0,4.0,0.024602031957765242
12.0,4.0,0.02463168541740186
13.0,4.0,0.024652487567416302
14.0,4.0,0.024585128451203798
15.0,4.0,0.024484250314213175
16.0,4.0,0.02435191403830817
20.0,4.0,0.024022644437091824
30.0,4.0,0.023066681040880048
40.0,4.0,0.022027339188690757
50.0,4.0,0.0216470519608198
100.0,4.0,0.018534968332998815
1.0,3.0,0.025176061302010794
2.0,3.0,0.02607860298594387
3.0,3.0,0.02596799096869841
4.0,3.0,0.024931679519541942
5.0,3.0,0.025307327142826113
7.0,3.0,0.025076915277718416
8.0,3.0,0.02509292006061207
9.0,3.0,0.02492246346460635
10.0,3.0,0.025194468366699842
11.0,3.0,0.024602031957765242
12.0,3.0,0.024538031099181585
13.0,3.0,0.024590930474045994
14.0,3.0,0.0246688837467077
15.0,3.0,0.024734259462439165
16.0,3.0,0.02459451676377088
20.0,3.0,0.024190192751150037
30.0,3.0,0.02318567802324585
40.0,3.0,0.02199593769189617
50.0,3.0,0.021554008629089853
100.0,3.0,0.018577759989301588
1.0,9.0,0.025176061302010794
2.0,9.0,0.026045123593684782
3.0,9.0,0.026061019245509166
4.0,9.0,0.02492793374862831
5.0,9.0,0.025046554307465312
7.0,9.0,0.024830023160069322
8.0,9.0,0.02494054773729909
9.0,9.0,0.025128169808536424
10.0,9.0,0.024348124411282313
11.0,9.0,0.024532217682603902
12.0,9.0,0.024474138157995092
13.0,9.0,0.024565312113828234
14.0,9.0,0.024467744401337952
15.0,9.0,0.024324863124466807
16.0,9.0,0.024382917672792125
20.0,9.0,0.02421781139920532
30.0,9.0,0.023621913547245684
40.0,9.0,0.022271972983651696
50.0,9.0,0.021712682760660358
100.0,9.0,0.018793409606827103
1.0,7.0,0.025176061302010794
2.0,7.0,0.026045123593684782
3.0,7.0,0.026061019245509166
4.0,7.0,0.02494135859890493
5.0,7.0,0.02479741067245454
7.0,7.0,0.024916565896658676
8.0,7.0,0.024891930832783477
9.0,7.0,0.025111439978036408
10.0,7.0,0.024357067603205707
11.0,7.0,0.024433465010095246
12.0,7.0,0.024336510642286004
13.0,7.0,0.02430335433312285
14.0,7.0,0.02410405543479878
15.0,7.0,0.024071604548914615
16.0,7.0,0.024087595277346576
20.0,7.0,0.02392296174151602
30.0,7.0,0.023004717163124737
40.0,7.0,0.02216387279320019
50.0,7.0,0.021524255696851898
100.0,7.0,0.018729534363616532
1.0,0.0,0.025176061302010794
2.0,0.0,0.025994735332328923
3.0,0.0,0.025918247037890096
4.0,0.0,0.02485078260287635
5.0,0.0,0.024583459773517464
7.0,0.0,0.02464312608939573
8.0,0.0,0.024607188731839324
9.0,0.0,0.024193326980082405
10.0,0.0,0.02439242625321365
11.0,0.0,0.024425385257168867
12.0,0.0,0.024486969407640228
13.0,0.0,0.024509010544838037
14.0,0.0,0.02444149874946699
15.0,0.0,0.0245466894196125
16.0,0.0,0.02439545243981834
20.0,0.0,0.023937719364864447
30.0,0.0,0.02285738027658726
40.0,0.0,0.022091598191890046
50.0,0.0,0.021588565825341445
100.0,0.0,0.018720809465040067
1.0,2.0,0.025176061302010794
2.0,2.0,0.02607860298594387
3.0,2.0,0.02596799096869841
4.0,2.0,0.024931679519541942
5.0,2.0,0.025307327142826113
7.0,2.0,0.025076915277718416
8.0,2.0,0.02509292006061207
9.0,2.0,0.02492246346460635
10.0,2.0,0.025194468366699842
11.0,2.0,0.024602031957765242
12.0,2.0,0.02463168541740186
13.0,2.0,0.024652487567416302
14.0,2.0,0.024585128451203798
15.0,2.0,0.024658508889817944
