Cluster,Window,Value
1.0,10.0,0.031978526401697564
2.0,10.0,0.030131252459442027
3.0,10.0,0.030170388742718858
4.0,10.0,0.03024423423475583
5.0,10.0,0.029906999437598718
7.0,10.0,0.029555415227786184
8.0,10.0,0.029300378995072048
9.0,10.0,0.02916605742107967
10.0,10.0,0.029202214857816648
11.0,10.0,0.029309662968838218
12.0,10.0,0.029250650829796467
13.0,10.0,0.029103199660529044
14.0,10.0,0.029019088885627146
15.0,10.0,0.028949866640904716
16.0,10.0,0.02885635728895379
17.0,10.0,0.02850404064554227
18.0,10.0,0.028193439470349125
19.0,10.0,0.027992045924290356
20.0,10.0,0.027897264083254627
25.0,10.0,0.027323265348083704
30.0,10.0,0.026691311570093836
40.0,10.0,0.025850060302043325
50.0,10.0,0.024865959092054545
100.0,10.0,0.02112419980241712
1.0,5.0,0.031978526401697564
2.0,5.0,0.031387943046105704
3.0,5.0,0.030955547757594702
4.0,5.0,0.03068703777221112
5.0,5.0,0.02912165030182241
7.0,5.0,0.029019128478593663
8.0,5.0,0.029003410625537657
9.0,5.0,0.02878829695426145
10.0,5.0,0.028622313563670915
11.0,5.0,0.028735694248577234
12.0,5.0,0.028973291609687618
13.0,5.0,0.028740860949923844
14.0,5.0,0.028552457473928403
15.0,5.0,0.028433062434282615
16.0,5.0,0.02832286453154741
17.0,5.0,0.02819461978811077
18.0,5.0,0.027999801350719472
19.0,5.0,0.02768548893412382
20.0,5.0,0.027587178406392517
25.0,5.0,0.026543738999881907
30.0,5.0,0.02596597511220419
40.0,5.0,0.025150927419546366
50.0,5.0,0.024127442604933373
100.0,5.0,0.020853252920690325
1.0,0.0,0.031978526401697564
2.0,0.0,0.03284614515681353
3.0,0.0,0.03161544362165069
4.0,0.0,0.03092263689802099
5.0,0.0,0.030788271954470724
7.0,0.0,0.030619876189618225
8.0,0.0,0.030543195849616907
9.0,0.0,0.030373152076940236
10.0,0.0,0.029752642967379048
11.0,0.0,0.029540208463917528
12.0,0.0,0.02950453680815155
13.0,0.0,0.02922704682976047
14.0,0.0,0.02864608898467038
15.0,0.0,0.028437500353640066
16.0,0.0,0.028339935274722238
17.0,0.0,0.028170844490073003
18.0,0.0,0.028023390014879537
19.0,0.0,0.027896068763378197
20.0,0.0,0.027784433395503984
25.0,0.0,0.02706809594985836
30.0,0.0,0.026552013701195275
40.0,0.0,0.02543869528624408
50.0,0.0,0.02467284399816153
100.0,0.0,0.02113146218452406
1.0,1.0,0.031978526401697564
2.0,1.0,0.03166401679236364
3.0,1.0,0.031066206991796533
4.0,1.0,0.030675480439356903
5.0,1.0,0.030047612182598802
7.0,1.0,0.029987812407899384
8.0,1.0,0.029642671298288886
9.0,1.0,0.0294176798334477
10.0,1.0,0.029248338243175017
11.0,1.0,0.029166486133275337
12.0,1.0,0.029327791051633283
13.0,1.0,0.028836317932737093
14.0,1.0,0.02879582169224252
15.0,1.0,0.02867958935609296
16.0,1.0,0.028477417914085583
17.0,1.0,0.028320297437079672
18.0,1.0,0.02820511405072786
19.0,1.0,0.02796842283012202
20.0,1.0,0.02762368885933368
25.0,1.0,0.027095691530651576
30.0,1.0,0.026519975584160284
40.0,1.0,0.02562338674842097
50.0,1.0,0.024569876598513684
100.0,1.0,0.020921127745902445
1.0,2.0,0.031978526401697564
2.0,2.0,0.0317829300057362
3.0,2.0,0.031230356243510532
4.0,2.0,0.03041645628033942
5.0,2.0,0.02953439148549651
7.0,2.0,0.02967975453729248
8.0,2.0,0.02956816005224776
9.0,2.0,0.029639357907548333
10.0,2.0,0.029780370469173638
11.0,2.0,0.02974136810492589
12.0,2.0,0.029323587895278065
13.0,2.0,0.028921636336257658
14.0,2.0,0.0287766631176195
15.0,2.0,0.028706566499759806
16.0,2.0,0.028548780705844132
17.0,2.0,0.028328900523642966
18.0,2.0,0.02839807117284218
19.0,2.0,0.02793079277061649
20.0,2.0,0.02767039303854531
25.0,2.0,0.027036664930382665
30.0,2.0,0.026582902658490278
40.0,2.0,0.025196643104291937
50.0,2.0,0.024264502087125623
100.0,2.0,0.020988279072053775
1.0,15.0,0.031978526401697564
2.0,15.0,0.029985023914795874
3.0,15.0,0.030891620631092118
4.0,15.0,0.030746376858738676
5.0,15.0,0.029994714238158224
7.0,15.0,0.029429199156951327
8.0,15.0,0.029194009568701714
9.0,15.0,0.02913093237641564
10.0,15.0,0.02899634209435563
11.0,15.0,0.028660066447996107
12.0,15.0,0.028707132689313894
13.0,15.0,0.028643805276948434
14.0,15.0,0.028585272874708394
15.0,15.0,0.028530112604468867
16.0,15.0,0.028621254317170514
17.0,15.0,0.028591585071435888
18.0,15.0,0.02838622994944872
19.0,15.0,0.028220773890742505
20.0,15.0,0.028071004375132488
25.0,15.0,0.027649203266998247
30.0,15.0,0.026872144340606058
40.0,15.0,0.026112823452849016
50.0,15.0,0.02491082381067911
100.0,15.0,0.021398396198187602
