Cluster,Window,Value
1.0,10.0,0.03188797387532375
2.0,10.0,0.03113614527387302
3.0,10.0,0.02986818764744982
4.0,10.0,0.02936491091628045
5.0,10.0,0.02898638030631925
7.0,10.0,0.02802994697431164
8.0,10.0,0.027762372986401124
9.0,10.0,0.027691516448695632
10.0,10.0,0.02743860398558192
11.0,10.0,0.027186428707456967
12.0,10.0,0.02686001045026977
13.0,10.0,0.02663054769068571
14.0,10.0,0.02631945042903456
15.0,10.0,0.026112428564516302
16.0,10.0,0.025981020921522636
17.0,10.0,0.025738118613243544
18.0,10.0,0.025662535641112903
19.0,10.0,0.02563287633200119
20.0,10.0,0.02553976011673698
25.0,10.0,0.02489669318617934
30.0,10.0,0.02428125749687046
40.0,10.0,0.023460186703453956
50.0,10.0,0.02296384273131449
100.0,10.0,0.020119087760944326
1.0,5.0,0.03188797387532375
2.0,5.0,0.03152475222307602
3.0,5.0,0.029184869336758904
4.0,5.0,0.028578892130554843
5.0,5.0,0.028633655661999134
7.0,5.0,0.027450794382906523
8.0,5.0,0.02711537939964327
9.0,5.0,0.026504409321853738
10.0,5.0,0.026433048746735306
11.0,5.0,0.026211980382952284
12.0,5.0,0.026073679918852174
13.0,5.0,0.02596210044166366
14.0,5.0,0.02585584562245468
15.0,5.0,0.025859157107302102
16.0,5.0,0.02579601062849746
17.0,5.0,0.025548038508908435
18.0,5.0,0.025394162070785868
19.0,5.0,0.025298709155274653
20.0,5.0,0.025288990182161516
25.0,5.0,0.024754996849187864
30.0,5.0,0.024458315707913632
40.0,5.0,0.023776610343591787
50.0,5.0,0.023087472042457056
100.0,5.0,0.01985490344005223
1.0,0.0,0.03188797387532375
2.0,0.0,0.031136189116808714
3.0,0.0,0.029604068422768373
4.0,0.0,0.028867097277465708
5.0,0.0,0.028151968190846175
7.0,0.0,0.027324191632879444
8.0,0.0,0.027130187753240394
9.0,0.0,0.026989417224736925
10.0,0.0,0.026649129899349144
11.0,0.0,0.02647844176620767
12.0,0.0,0.026411700764449614
13.0,0.0,0.026520819550653482
14.0,0.0,0.026394723682724455
15.0,0.0,0.026156300968283967
16.0,0.0,0.025975120566640475
17.0,0.0,0.026072841707197918
18.0,0.0,0.026002372740834324
19.0,0.0,0.025956595227894508
20.0,0.0,0.025497085416437398
25.0,0.0,0.025020991538199918
30.0,0.0,0.024830860134932537
40.0,0.0,0.02402298529400043
50.0,0.0,0.023474662829413656
100.0,0.0,0.0197773909397396
1.0,1.0,0.03188797387532375
2.0,1.0,0.03120539402461475
3.0,1.0,0.029044781521430363
4.0,1.0,0.028512992086854004
5.0,1.0,0.02755030555004649
7.0,1.0,0.0271264064933273
8.0,1.0,0.026499077590452908
9.0,1.0,0.026127476574172175
10.0,1.0,0.025931480706345388
11.0,1.0,0.02587495123332257
12.0,1.0,0.025882144254659237
13.0,1.0,0.02582843636547423
14.0,1.0,0.025707741493571953
15.0,1.0,0.025604471531675523
16.0,1.0,0.02564579832944992
17.0,1.0,0.02559085327846731
18.0,1.0,0.02538071586693548
19.0,1.0,0.025343781599537308
20.0,1.0,0.02541670348086609
25.0,1.0,0.025138421052428677
30.0,1.0,0.024718986219203567
40.0,1.0,0.024010464429382893
50.0,1.0,0.02319406389146557
100.0,1.0,0.01975349226873851
1.0,2.0,0.03188797387532375
2.0,2.0,0.031672546484293726
3.0,2.0,0.02921612235632587
4.0,2.0,0.028944852725029814
5.0,2.0,0.029042492335856228
7.0,2.0,0.0266700553470716
8.0,2.0,0.026420515400072175
9.0,2.0,0.02604885131499067
10.0,2.0,0.02601264111675632
11.0,2.0,0.025974413131332526
12.0,2.0,0.025980078121562514
13.0,2.0,0.026016424989004305
14.0,2.0,0.025908739638028904
15.0,2.0,0.025962148151069366
16.0,2.0,0.025872284616367598
17.0,2.0,0.025916126874032535
18.0,2.0,0.025807272161688745
19.0,2.0,0.02595328159020439
20.0,2.0,0.02585158436969962
25.0,2.0,0.02540456026964536
30.0,2.0,0.024832037627381925
40.0,2.0,0.024057210195540916
50.0,2.0,0.02313530063497636
100.0,2.0,0.019891883395118413
1.0,15.0,0.03188797387532375
2.0,15.0,0.030800607499309286
3.0,15.0,0.030628352565603943
4.0,15.0,0.029428023188057015
5.0,15.0,0.02890212542861053
7.0,15.0,0.027604821028145158
8.0,15.0,0.027326295835994063
9.0,15.0,0.027324325673639224
10.0,15.0,0.026999553610545634
11.0,15.0,0.02693774693023083
12.0,15.0,0.026816388209224728
13.0,15.0,0.026635011412369538
14.0,15.0,0.02636652401903932
15.0,15.0,0.026135721491873327
16.0,15.0,0.026050347524880738
17.0,15.0,0.02601181289545855
18.0,15.0,0.025840781570336258
19.0,15.0,0.02584243251409204
20.0,15.0,0.02578350268545943
25.0,15.0,0.025177794199459036
30.0,15.0,0.025054265163042447
40.0,15.0,0.02442099810470348
50.0,15.0,0.023617842666837585
100.0,15.0,0.020195461667585665
