Cluster,Window,Value
1.0,10.0,0.06175423933146546
2.0,10.0,0.057703206770740444
3.0,10.0,0.057446017711286046
4.0,10.0,0.05626660134776537
5.0,10.0,0.05711000490126397
7.0,10.0,0.05575787568072206
8.0,10.0,0.05537310311371836
9.0,10.0,0.055248677375896726
10.0,10.0,0.05433107970052293
11.0,10.0,0.05380906523908668
12.0,10.0,0.0538452918531824
13.0,10.0,0.0540860386154341
14.0,10.0,0.05329881780978537
15.0,10.0,0.05255004745644179
16.0,10.0,0.052274653235119685
17.0,10.0,0.05220266328467416
18.0,10.0,0.05204361230092376
19.0,10.0,0.05197076849299271
20.0,10.0,0.051556549319772944
25.0,10.0,0.050559507891276986
30.0,10.0,0.049217555053116584
40.0,10.0,0.0474619653576647
50.0,10.0,0.04560406019044839
100.0,10.0,0.03938958093906267
1.0,5.0,0.06175423933146546
2.0,5.0,0.05705248074610125
3.0,5.0,0.05680078967416884
4.0,5.0,0.056277636273195146
5.0,5.0,0.055758965489993394
7.0,5.0,0.05362722534523968
8.0,5.0,0.054314292515812504
9.0,5.0,0.05388192454303934
10.0,5.0,0.05358242267286243
11.0,5.0,0.053129827240188894
12.0,5.0,0.053088149982792314
13.0,5.0,0.052610297728729674
14.0,5.0,0.052280956092557056
15.0,5.0,0.051982905951196076
16.0,5.0,0.051764759487291936
17.0,5.0,0.051608072555262285
18.0,5.0,0.05131026878508912
19.0,5.0,0.050859381198198404
20.0,5.0,0.05046334261077167
25.0,5.0,0.05008531703160623
30.0,5.0,0.04873023478166928
40.0,5.0,0.046909763001043436
50.0,5.0,0.0453546143771858
100.0,5.0,0.03880441596587737
1.0,0.0,0.06175423933146546
2.0,0.0,0.06112466013041858
3.0,0.0,0.05814968058379404
4.0,0.0,0.057206526934401196
5.0,0.0,0.05683313005866043
7.0,0.0,0.05512784561157358
8.0,0.0,0.05496291461557779
9.0,0.0,0.055136453053570136
10.0,0.0,0.05434434929339618
11.0,0.0,0.05367809934788588
12.0,0.0,0.05367962352711302
13.0,0.0,0.053628919916098514
14.0,0.0,0.053496832377444625
15.0,0.0,0.05318599399255865
16.0,0.0,0.05289827900930405
17.0,0.0,0.05231764937497521
18.0,0.0,0.05210734275883193
19.0,0.0,0.05203307109174209
20.0,0.0,0.0517799890883146
25.0,0.0,0.0502149504017423
30.0,0.0,0.04872064166500851
40.0,0.0,0.046495761096439873
50.0,0.0,0.04496054405780942
100.0,0.0,0.038156354195460734
1.0,1.0,0.06175423933146546
2.0,1.0,0.056736568285044954
3.0,1.0,0.059572614179433735
4.0,1.0,0.05887344362652197
5.0,1.0,0.05808675505968232
7.0,1.0,0.05645123366652878
8.0,1.0,0.056177667618290975
9.0,1.0,0.055711839448086706
10.0,1.0,0.05523893525956349
11.0,1.0,0.055371883638829236
12.0,1.0,0.054865491148166474
13.0,1.0,0.05467292708377208
14.0,1.0,0.05438670327068469
15.0,1.0,0.05378297172231924
16.0,1.0,0.0534715148987194
17.0,1.0,0.05308368951266287
18.0,1.0,0.05271502714223288
19.0,1.0,0.052366803706836204
20.0,1.0,0.0520455686926241
25.0,1.0,0.05056973421135728
30.0,1.0,0.04920356871888411
40.0,1.0,0.04712958086639754
50.0,1.0,0.04520600770286792
100.0,1.0,0.03817389382181282
1.0,2.0,0.06175423933146546
2.0,2.0,0.05909761952819495
3.0,2.0,0.05908938953322038
4.0,2.0,0.05880476006224942
5.0,2.0,0.05842165497244334
7.0,2.0,0.054435307093814445
8.0,2.0,0.05430339857726917
9.0,2.0,0.05397757299126005
10.0,2.0,0.055600667659784817
11.0,2.0,0.05429607894049602
12.0,2.0,0.05403177783126218
13.0,2.0,0.05300418261571696
14.0,2.0,0.05285394785792111
15.0,2.0,0.05297391453747351
16.0,2.0,0.052701876859335056
17.0,2.0,0.05235105718332505
18.0,2.0,0.05198878083590159
19.0,2.0,0.05234866222592605
20.0,2.0,0.05205032297729114
25.0,2.0,0.0498337395700612
30.0,2.0,0.04888633988526209
40.0,2.0,0.047147994693029834
50.0,2.0,0.045359849038371286
100.0,2.0,0.03834796863278833
1.0,15.0,0.06175423933146546
2.0,15.0,0.05665023281978615
3.0,15.0,0.05784381605206367
4.0,15.0,0.05742990515701133
5.0,15.0,0.056725168883949295
7.0,15.0,0.05618794758203248
8.0,15.0,0.05530437010177455
9.0,15.0,0.05477464969318145
10.0,15.0,0.054475607227777896
11.0,15.0,0.05361539283878761
12.0,15.0,0.053483495458739316
13.0,15.0,0.05341505815713929
14.0,15.0,0.05306614584869208
15.0,15.0,0.053173539485773635
16.0,15.0,0.05300288708935497
17.0,15.0,0.053345324436958934
18.0,15.0,0.053169860189996296
19.0,15.0,0.05281893045641043
20.0,15.0,0.052110752509020274
25.0,15.0,0.05091814505716581
30.0,15.0,0.050047644313227224
40.0,15.0,0.04777473384258228
50.0,15.0,0.04613449587641448
100.0,15.0,0.03989661811846765
