Cluster;Window;Value
1;10;0.015224678
2;10;0.025565549
3;10;0.026152287
4;10;0.026932709
5;10;0.026768239
7;10;0.02751831
10;10;0.027775935
15;10;0.02912789
20;10;0.02927638
25;10;0.02954054
30;10;0.029894442
40;10;0.03030038
50;10;0.030368722
100;10;0.030575686
1;5;0.015224678
2;5;0.025565549
3;5;0.026152287
4;5;0.025597985
5;5;0.026217863
7;5;0.02751831
10;5;0.027738276
15;5;0.028456608
20;5;0.02934376
25;5;0.029639873
30;5;0.030189536
40;5;0.03000304
50;5;0.030207275
100;5;0.030344217
1;0;0.015224678
2;0;0.025565549
3;0;0.026870542
4;0;0.026238421
5;0;0.026405093
7;0;0.027984377
10;0;0.028782069
15;0;0.029683655
20;0;0.030164914
25;0;0.030326044
30;0;0.030272819
40;0;0.030104119
50;0;0.029917123
100;0;0.030437824
1;2;0.015224678
2;2;0.025565549
3;2;0.024894559
4;2;0.025597985
5;2;0.026198134
7;2;0.027363023
10;2;0.028055748
15;2;0.028525407
20;2;0.028940498
25;2;0.029008595
30;2;0.029225368
40;2;0.029598165
50;2;0.029808673
100;2;0.030189205
1;15;0.015224678
2;15;0.025565549
3;15;0.026152287
4;15;0.025597985
5;15;0.026217863
7;15;0.027530062
10;15;0.02780589
15;15;0.028794394
20;15;0.028729486
25;15;0.029564741
30;15;0.029793657
40;15;0.030175619
50;15;0.03028006
100;15;0.030485645
1;999;0.030612268
2;999;0.030612268
3;999;0.030612268
4;999;0.030612268
5;999;0.030612268
7;999;0.030612268
10;999;0.030612268
15;999;0.030612268
20;999;0.030612268
25;999;0.030612268
30;999;0.030612268
40;999;0.030612268
50;999;0.030612268
100;999;0.030612268
