Cluster,Window,Value
1.0,10.0,0.01084755201184704
2.0,10.0,0.021642203098798204
3.0,10.0,0.027287470682697396
4.0,10.0,0.026038498926554222
5.0,10.0,0.02586205315090493
7.0,10.0,0.026197918610618022
8.0,10.0,0.027024096198459246
9.0,10.0,0.027478549707881994
10.0,10.0,0.028658989742409616
11.0,10.0,0.028912895749444396
12.0,10.0,0.02909265441761827
13.0,10.0,0.029057043385891886
14.0,10.0,0.029374131787884707
15.0,10.0,0.029504359958506775
16.0,10.0,0.028319322346392246
17.0,10.0,0.028399974545932558
18.0,10.0,0.02866012740082669
19.0,10.0,0.029118828542471664
20.0,10.0,0.02929528408626455
25.0,10.0,0.028192710561822668
30.0,10.0,0.02909513254957635
40.0,10.0,0.030170582594758296
50.0,10.0,0.03196287324191484
100.0,10.0,0.03320556320685905
1.0,5.0,0.01084755201184704
2.0,5.0,0.019875038287963567
3.0,5.0,0.021435885470989433
4.0,5.0,0.023417170090643234
5.0,5.0,0.02484490450492656
7.0,5.0,0.02719075848323517
8.0,5.0,0.027391704007202283
9.0,5.0,0.02685477275242644
10.0,5.0,0.027548199184498218
11.0,5.0,0.027832210620328483
12.0,5.0,0.029219978719331584
13.0,5.0,0.0276711341327808
14.0,5.0,0.027557793119744777
15.0,5.0,0.027822654676700875
16.0,5.0,0.028010223982014873
17.0,5.0,0.028099666769048078
18.0,5.0,0.027643984268656583
19.0,5.0,0.027348964968692463
20.0,5.0,0.02678513705032919
25.0,5.0,0.027697024616403665
30.0,5.0,0.027964011579337332
40.0,5.0,0.030395442612089173
50.0,5.0,0.03047534062271385
100.0,5.0,0.03272331334222798
1.0,0.0,0.01084755201184704
2.0,0.0,0.023686721129968412
3.0,0.0,0.02758311454222015
4.0,0.0,0.028840010608527804
5.0,0.0,0.027139716582008103
7.0,0.0,0.029374783969621624
8.0,0.0,0.03185583309467241
9.0,0.0,0.032210207364966395
10.0,0.0,0.030015216409112255
11.0,0.0,0.029624227011679927
12.0,0.0,0.030311168568470423
13.0,0.0,0.031018351102604175
14.0,0.0,0.030092126379188705
15.0,0.0,0.02991284445139593
16.0,0.0,0.030157493834243453
17.0,0.0,0.030645194861722437
18.0,0.0,0.030908501746100492
19.0,0.0,0.03107435162311541
20.0,0.0,0.03117562229996459
25.0,0.0,0.029337991522195735
30.0,0.0,0.031194360692123696
40.0,0.0,0.03116676453273838
50.0,0.0,0.031526808727971437
100.0,0.0,0.032622885421734533
1.0,1.0,0.01084755201184704
2.0,1.0,0.02368105775871999
3.0,1.0,0.025494969029021514
4.0,1.0,0.024327744731687462
5.0,1.0,0.024916179869472387
7.0,1.0,0.027779773919634505
8.0,1.0,0.026837873633737727
9.0,1.0,0.027105665063896178
10.0,1.0,0.026831686152413485
11.0,1.0,0.027127027880856955
12.0,1.0,0.02661892055069083
13.0,1.0,0.0267159845960966
14.0,1.0,0.02617138020642041
15.0,1.0,0.0276487273185093
16.0,1.0,0.027542718857598864
17.0,1.0,0.027038349739038882
18.0,1.0,0.02683679771488864
19.0,1.0,0.026788248411037177
20.0,1.0,0.026941874213277595
25.0,1.0,0.028629476369366892
30.0,1.0,0.030043467945165325
40.0,1.0,0.030526464912484647
50.0,1.0,0.0303635223892734
100.0,1.0,0.03186871237983281
1.0,2.0,0.01084755201184704
2.0,2.0,0.02185768091331972
3.0,2.0,0.02286872218424232
4.0,2.0,0.020452052456722082
5.0,2.0,0.023113736324763396
7.0,2.0,0.023945445251688985
8.0,2.0,0.026065678878950352
9.0,2.0,0.02833346004431138
10.0,2.0,0.02859584735166508
11.0,2.0,0.02796990701675277
12.0,2.0,0.02935374468393604
13.0,2.0,0.029934171701889705
14.0,2.0,0.029342467051168778
15.0,2.0,0.029041365545499343
16.0,2.0,0.02927639536084144
17.0,2.0,0.029501111488086294
18.0,2.0,0.029251562329481385
19.0,2.0,0.02801647692677017
20.0,2.0,0.027728472924502822
25.0,2.0,0.028818505125599997
30.0,2.0,0.02884164921304707
40.0,2.0,0.03025759066223342
50.0,2.0,0.03133103323684301
100.0,2.0,0.03303680032999152
1.0,15.0,0.01084755201184704
2.0,15.0,0.01798642134820899
3.0,15.0,0.023097031618496626
4.0,15.0,0.023771832986026364
5.0,15.0,0.023456019770415917
7.0,15.0,0.025902175360904493
8.0,15.0,0.026110840372261045
9.0,15.0,0.027853674992453344
10.0,15.0,0.02945190136664619
