Cluster,Window,Value
1.0,10.0,0.01084755201184704
2.0,10.0,0.022772922188177315
3.0,10.0,0.023294867627211047
4.0,10.0,0.026189619777658928
5.0,10.0,0.027097024242699108
7.0,10.0,0.027498607788983862
8.0,10.0,0.029062480358498746
9.0,10.0,0.031181007793562882
10.0,10.0,0.03212928353135098
11.0,10.0,0.03220335408068413
12.0,10.0,0.03217366379247242
13.0,10.0,0.0318937900397077
14.0,10.0,0.032063137186930754
15.0,10.0,0.032414217448445304
16.0,10.0,0.03286949916106392
17.0,10.0,0.032224571326806374
18.0,10.0,0.03160408781892722
19.0,10.0,0.03154501035189184
20.0,10.0,0.03144679037441775
25.0,10.0,0.032635926090009565
30.0,10.0,0.032431346602704275
40.0,10.0,0.03424639393242388
50.0,10.0,0.0344896728264936
100.0,10.0,0.03348812996217058
1.0,5.0,0.01084755201184704
2.0,5.0,0.022217266545796806
3.0,5.0,0.0244163214848979
4.0,5.0,0.024721941601976424
5.0,5.0,0.025190966004062645
7.0,5.0,0.02568085575460411
8.0,5.0,0.0271165709792479
9.0,5.0,0.027089501151765644
10.0,5.0,0.027475215451064246
11.0,5.0,0.028414732180021683
12.0,5.0,0.032338500571265694
13.0,5.0,0.03224826802189014
14.0,5.0,0.03221159529615272
15.0,5.0,0.03358719565661735
16.0,5.0,0.03356827973100321
17.0,5.0,0.033851384722571314
18.0,5.0,0.03325553692348186
19.0,5.0,0.03294027164237164
20.0,5.0,0.03319731182058341
25.0,5.0,0.031306318291858225
30.0,5.0,0.031370232845760467
40.0,5.0,0.03130562805237521
50.0,5.0,0.030702880224970586
100.0,5.0,0.03253103980471212
1.0,0.0,0.01084755201184704
2.0,0.0,0.023686721129968412
3.0,0.0,0.02758311454222015
4.0,0.0,0.028840010608527804
5.0,0.0,0.027139716582008103
7.0,0.0,0.029374783969621624
8.0,0.0,0.03185583309467241
9.0,0.0,0.032210207364966395
10.0,0.0,0.030015216409112255
11.0,0.0,0.029624227011679927
12.0,0.0,0.030311168568470423
13.0,0.0,0.031018351102604175
14.0,0.0,0.030092126379188705
15.0,0.0,0.02991284445139593
16.0,0.0,0.030157493834243453
17.0,0.0,0.030645194861722437
18.0,0.0,0.030908501746100492
19.0,0.0,0.03107435162311541
20.0,0.0,0.03117562229996459
25.0,0.0,0.029337991522195735
30.0,0.0,0.031194360692123696
40.0,0.0,0.03116676453273838
50.0,0.0,0.031526808727971437
100.0,0.0,0.032622885421734533
1.0,1.0,0.01084755201184704
2.0,1.0,0.02162495746036308
3.0,1.0,0.023412437433127348
4.0,1.0,0.023037317219231884
5.0,1.0,0.02477594676489595
7.0,1.0,0.027956185641074542
8.0,1.0,0.02806656421490539
9.0,1.0,0.02958861292851729
10.0,1.0,0.02970657690967232
11.0,1.0,0.03025123880670637
12.0,1.0,0.03087356404604429
13.0,1.0,0.030884328208225488
14.0,1.0,0.030921900650993355
15.0,1.0,0.031270247175939486
16.0,1.0,0.031245688505210426
17.0,1.0,0.03147237129492464
18.0,1.0,0.03122726502486461
19.0,1.0,0.031116596302484298
20.0,1.0,0.031155439588484213
25.0,1.0,0.032712262971936336
30.0,1.0,0.0315280067197602
40.0,1.0,0.03260578519923883
50.0,1.0,0.032408007896091356
100.0,1.0,0.03205417908003583
1.0,2.0,0.01084755201184704
2.0,2.0,0.022932054674085874
3.0,2.0,0.02537568436973802
4.0,2.0,0.026794380798375976
5.0,2.0,0.027537684952655184
7.0,2.0,0.028418110673524444
8.0,2.0,0.02908208514220179
9.0,2.0,0.031594833155821865
10.0,2.0,0.0325767617296783
11.0,2.0,0.03209682583471416
12.0,2.0,0.03230836375523922
13.0,2.0,0.03306813050742789
14.0,2.0,0.032749001514671625
15.0,2.0,0.03260392819749503
16.0,2.0,0.03297262901374004
17.0,2.0,0.03287249390205956
18.0,2.0,0.03275810148125942
19.0,2.0,0.032241708804250785
20.0,2.0,0.03238944332521814
25.0,2.0,0.03308864143492252
30.0,2.0,0.0329486535132823
40.0,2.0,0.032065361023019365
50.0,2.0,0.032338101246037025
100.0,2.0,0.03314540845211834
1.0,15.0,0.01084755201184704
2.0,15.0,0.019279850825947558
3.0,15.0,0.02447115417388999
4.0,15.0,0.02538181568443994
5.0,15.0,0.02699646263469095
7.0,15.0,0.02987320544666747
8.0,15.0,0.02971469568326337
9.0,15.0,0.02984676764476085
10.0,15.0,0.030518344957379383
11.0,15.0,0.02905478201975923
12.0,15.0,0.029443710150457266
13.0,15.0,0.029457110376006387
14.0,15.0,0.02944986306785092
