Cluster,Window,Value
1.0,10.0,0.009018870149717667
2.0,10.0,0.0195033301617987
3.0,10.0,0.01907692779528596
4.0,10.0,0.01920115798207462
5.0,10.0,0.019892708607361007
7.0,10.0,0.020045822000400493
10.0,10.0,0.021344620026971923
15.0,10.0,0.02223941598152694
20.0,10.0,0.022417925806880065
25.0,10.0,0.022931124884763718
30.0,10.0,0.023280542252802728
40.0,10.0,0.023508616916663408
50.0,10.0,0.023918396986259135
100.0,10.0,0.024484370151331137
1.0,5.0,0.009018870149717667
2.0,5.0,0.0195033301617987
3.0,5.0,0.01907692779528596
4.0,5.0,0.018733536537257803
5.0,5.0,0.019533031300447607
7.0,5.0,0.01974957557296248
10.0,5.0,0.021742530144765196
15.0,5.0,0.022919277683874084
20.0,5.0,0.022990291076233026
25.0,5.0,0.0230495309094169
30.0,5.0,0.023210375224947823
40.0,5.0,0.023263808072540103
50.0,5.0,0.023657542596787484
100.0,5.0,0.024134260246569485
1.0,0.0,0.009018870149717667
2.0,0.0,0.0195033301617987
3.0,0.0,0.01907692779528596
4.0,0.0,0.020267299256427552
5.0,0.0,0.021032390510401414
7.0,0.0,0.021195999127183365
10.0,0.0,0.02146317943477585
15.0,0.0,0.022050353108762
20.0,0.0,0.022413987697277267
25.0,0.0,0.022964358843131576
30.0,0.0,0.022962035136532572
40.0,0.0,0.023417878768969058
50.0,0.0,0.023347849351391264
100.0,0.0,0.0246083102593718
1.0,1.0,0.009018870149717667
2.0,1.0,0.0195033301617987
3.0,1.0,0.019008452697257355
4.0,1.0,0.019506176974731327
5.0,1.0,0.019432454658563938
7.0,1.0,0.021162650187109264
10.0,1.0,0.021966917903817166
15.0,1.0,0.022115036782720192
20.0,1.0,0.02292349842883102
25.0,1.0,0.02304415719075546
30.0,1.0,0.0231886311781933
40.0,1.0,0.02300923372154342
50.0,1.0,0.02360701732310311
100.0,1.0,0.024185045812085602
1.0,2.0,0.009018870149717667
2.0,2.0,0.0195033301617987
3.0,2.0,0.019008452697257355
4.0,2.0,0.01954428614541518
5.0,2.0,0.020070389421236758
7.0,2.0,0.021075317294835305
10.0,2.0,0.022197953983737313
15.0,2.0,0.02256692260121705
20.0,2.0,0.0231391719279691
25.0,2.0,0.02322249565033871
30.0,2.0,0.023650388366218075
40.0,2.0,0.0240598939450256
50.0,2.0,0.024312072897820017
100.0,2.0,0.0243795156748113
1.0,15.0,0.009018870149717667
2.0,15.0,0.019520772966567016
3.0,15.0,0.019737186299451804
4.0,15.0,0.019607811419088524
5.0,15.0,0.019165950004023675
7.0,15.0,0.021960639740829787
10.0,15.0,0.0226131719141474
15.0,15.0,0.022723736158803066
20.0,15.0,0.02268925863513854
25.0,15.0,0.022331047783352733
30.0,15.0,0.022760374319062946
40.0,15.0,0.02303254342442697
50.0,15.0,0.02330680589760763
100.0,15.0,0.02448794338629657
1.0,999.0,0.024394005543205886
2.0,999.0,0.024394005543205886
3.0,999.0,0.024394005543205886
4.0,999.0,0.024394005543205886
5.0,999.0,0.024394005543205886
7.0,999.0,0.024394005543205886
10.0,999.0,0.024394005543205886
15.0,999.0,0.024394005543205886
20.0,999.0,0.024394005543205886
25.0,999.0,0.024394005543205886
30.0,999.0,0.024394005543205886
40.0,999.0,0.024394005543205886
50.0,999.0,0.024394005543205886
100.0,999.0,0.024394005543205886
